Postingan,Kategori Pekerjaan
Lowongan teknisi komputer kami terbuka untuk individu yang dapat mengidentifikasi dan memperbaiki masalah perangkat keras serta memastikan perawatan berkala untuk mencegah kerusakan sistem.,Service Sistem
"Posisi terbuka untuk tukang cat kayu profesional yang dapat menciptakan desain furniture eksklusif. Jika Anda memiliki keahlian dalam pengecatan meja, kursi, dan lemari dengan sentuhan kreatif, kami ingin mendengar darimu. Kirimkan lamaran Anda sekarang!",Tukang Cat
"Terkait TV digital yang saya miliki, saat ini mengalami masalah di mana layar sering berkedip dan sering kali kehilangan sinyal. Masalah ini sudah terjadi sekitar dua minggu terakhir. Saya mencari bantuan teknisi elektronik yang kompeten untuk menyelesaikan masalah ini dengan segera. Jika Anda memiliki keterampilan yang sesuai, mohon hubungi saya. Terima kasih",Servis Televisi
"Sound system saya mengalami kerusakan dan kini tidak mampu menghasilkan suara dengan jelas atau bahkan mengeluarkan bising. Oleh karena itu, saya mencari dan memanggil teknisi elektronik yang mampu melakukan servis sound system dengan cepat dan tepat serta memberikan hasil terbaik.",Servis Soundsystem
"Jika Anda memiliki pengalaman dalam merancang dan mengimplementasikan solusi keamanan siber, kami ingin mendengar bagaimana Anda dapat melibatkan diri dalam perlindungan data kami.",Service Sistem
"Terdapat masalah pada mesin cuci saya, dimana saat ini mengalami kesulitan pada putaran pengeringannya. Saya sedang mencari teknisi elektronik yang memiliki keahlian dalam servis mesin cuci untuk memeriksa dan memperbaiki masalah ini. Mohon segera hubungi saya jika Anda memiliki keterampilan yang diperlukan. Terima kasih",Servis Mesin Cuci
Saya memiliki soundsystem yang telah mengalami kerusakan selama dua hari terakhir. Masalah utama yang dialami adalah suara yang dihasilkan terasa bergetar dan kehilangan beberapa bass dan kemampuan untuk menyimpan pengaturan pojok. Saya perlu bantuan seorang teknisi elektronik yang ahli untuk memperbaiki soundsystem ini.,Servis Soundsystem
"Mesin cuci saya bermasalah, suara berisik saat berputar dan air masuk tidak berfungsi, sehingga ia tidak bisa mengerjakan proses mencuci normal. Saya perlu membutuhkan bantuan dari teknisi elektronik yang bisa membantu menangani masalah ini.",Servis Mesin Cuci
"TV digital saya mengalami masalah selama satu minggu terakhir di mana layar tidak menampilkan gambar, hanya terdengar suara, meskipun kontrol remote berfungsi normal. Saya mencari teknisi elektronik yang berpengalaman dalam servis TV digital untuk memeriksa dan memperbaiki masalah ini. Jika Anda memiliki keterampilan yang sesuai, mohon segera hubungi saya.",Servis Televisi
"Perusahaan kami sedang mencari teknisi komputer yang memiliki fokus khusus pada perangkat lunak untuk meningkatkan kapabilitas tim kami. Jika Anda memiliki kecakapan dalam memahami kode, mengoptimalkan aplikasi, dan memiliki pengetahuan mendalam tentang sistem operasi, kami mengajak Anda untuk mengajukan lamaran.",Service Perangkat lunak
Lowongan pekerjaan untuk tukang las spesialis proyek pipa dan penyambungan logam. Kami mencari individu yang memiliki keahlian dalam penyambungan pipa dan struktur logam dengan metode pengelasan yang sesuai standar. Pengalaman dalam proyek pipa atau sertifikasi pengelasan pipa akan menjadi nilai tambah.,Tukang Las
"Sound system saya mengalami gangguan selama dua minggu terakhir, terutama pada speaker utama yang menghasilkan suara terdistorsi dan terdengar pecah saat digunakan. Saya mencari teknisi elektronik yang ahli dalam servis sound system untuk memeriksa dan memperbaiki masalah ini. Mohon segera hubungi saya jika Anda memiliki keterampilan yang relevan.",Servis Soundsystem
"Kami mencari tukang semen yang memiliki pengalaman dalam pekerjaan rekayasa struktur beton seperti pembangunan tangki air dan kolam renang. Kualifikasi melibatkan setidaknya 5 tahun pengalaman dalam mengecor struktur beton yang memerlukan keahlian teknis tinggi, pengetahuan tentang ketahanan terhadap tekanan air, dan sertifikasi keselamatan kerja di proyek air.",Tukang Semen
Kami mencari tukang kayu perabotan yang memiliki pengalaman dalam merancang dan memproduksi perabotan multifungsional untuk ruang terbatas. Pengalaman minimal 5 tahun dalam menciptakan solusi perabotan inovatif menjadi kualifikasi utama.,Tukang Kayu
Kami membutuhkan tukang batu yang handal dalam menciptakan miniatur hewan dari batu. Kreativitas dan keahlian dalam membuat patung miniatur menjadi nilai tambah. Pengalaman 10 tahun lebih diutamakan atau jika memiliki sertifikasi.,Tukang Batu
"Kami dari tempat cuci pakaian membutuhkan bantuan seorang teknisi elektronik untuk servis mesin cuci kami. Beberapa mesin cuci yang kami punyai mengalami kerusakan. Mesin cuci kami tidak dapat menyala, ada kebocoran pada sistem pendingin, translate pada bagian dalam mesin rusak, knop penyiram rusak, dan meskipun terdapat banyak mesin cuci yang berfungsi namun kinerja kami cukup berkurang karena beberapa mesin cuci yang rusak. Jika Anda mampu menangani masalah ini akan sangat kami apresiasi. Anda bisa konfirmasi langsung pada postingan ini.",Servis Mesin Cuci
"Mesin cuci saya sedang mengalami kendala saat proses pencucian, terutama dalam putaran pengeringannya. Saya mencari teknisi elektronik yang ahli dalam servis mesin cuci untuk meninjau dan memperbaiki masalah ini. Mohon segera hubungi saya jika Anda memiliki keterampilan yang diperlukan.",Servis Mesin Cuci
"Perusahaan kami sedang mencari teknisi komputer berpengalaman yang memiliki ketertarikan khusus pada perangkat keras. Jika Anda memiliki pengetahuan mendalam tentang troubleshooting dan perbaikan motherboard, hard drive, serta komponen lainnya, kami ingin mendengar lebih lanjut tentang pengalaman Anda.",Service Perangkat keras
Kulkas saya tidak lagi berfungsi dengan baik. Air dingin yang keluar dari kulkas sangat terbatas dan tidak dapat dingin. Saya perlu mendapatkan seorang teknisi elektronik yang bisa memperbaiki kulkas saya segera.,Servis Kulkas
"Permasalahan yang terjadi pada AC di tempat saya bekerja adalah tidak bisa digunakan secara normal, yaitu AC tidak dingin, udara yang keluar tidak cukup bersih, dan juga ac terkadang mati secara tiba-tiba. Kondisi AC ini membutuhkan segera perbaikan. Oleh karena itu, saya membutuhkan tukang servis AC untuk menanganinya.",Servis AC
"Kami mencari tukang cat kayu yang memiliki keahlian khusus dalam menciptakan tampilan rustik untuk desain interior. Kualifikasi mencakup pemahaman tentang teknik penyelesaian kayu, kemampuan memberikan sentuhan kuno pada furnitur dan elemen interior lainnya.",Tukang Cat
"Kami mencari teknisi komputer dengan keterampilan luar biasa dalam aspek perangkat lunak. Jika Anda memiliki rekam jejak yang sukses dalam mendukung pelanggan dengan masalah aplikasi, mengelola sumber daya perangkat lunak, dan memiliki pemahaman tentang penanganan perangkat lunak berskala besar, kami mengundang Anda untuk bergabung dengan tim kami.",Service Perangkat lunak
Apakah Anda memiliki pengalaman dalam melaksanakan pelatihan keamanan siber untuk meningkatkan kesadaran karyawan? Kami mengajak teknisi komputer yang proaktif dan berkomitmen.,Service Keamanan
Lowongan teknisi komputer kami memprioritaskan kandidat yang dapat merancang dan mengelola sistem basis data berbasis cloud untuk mendukung kebutuhan pertumbuhan perusahaan.,Service Data
"Kami mencari teknisi komputer yang berkecimpung dalam dunia perangkat lunak dengan keahlian yang mendalam. Jika Anda dapat mengatasi masalah aplikasi, memahami kebutuhan pengguna dalam mengoperasikan software, dan memberikan dukungan teknis yang handal, kami ingin melihat aplikasi Anda.",Service Perangkat lunak
"Lowongan teknisi komputer kami terbuka untuk individu yang mahir dalam merancang dan mengelola infrastruktur jaringan, serta memiliki keahlian dalam pemecahan masalah keamanan.",Service Sistem
Kami membuka peluang bagi teknisi komputer yang dapat melakukan pemantauan terhadap tren keamanan siber terbaru dan mengintegrasikan langkah-langkah proaktif ke dalam infrastruktur IT.,Service Keamanan
"Saya memiliki sound system yang rusak sejak beberapa hari yang lalu. Saya membutuhkan jasa teknisi elektronik yang bisa menyervis sound system ini dengan benar. Permasalahan yang saya alami adalah, sound system berbunyi terlalu keras pada volume minimum dan sound system menimbulkan bunyi-bunyi aneh pada saat dimatikan. Semoga ada teknisi yang dapat membantu saya dan berhasil menyolve masalah ini.",Servis Soundsystem
Pekerjaan ini mengajak tukang kayu ahli dalam pembuatan pintu masif dengan desain khusus. Kualifikasi mencakup setidaknya 1 tahun pengalaman dalam menghasilkan pintu kayu berkualitas tinggi dan kemampuan untuk mengikuti tren desain terkini.,Tukang Kayu
"Kami mencari tukang batu yang tertarik pada proyek peningkatan lingkungan, seperti pembangunan taman kota dan area rekreasi. Kualifikasi melibatkan pemahaman tentang desain ekologis, kemampuan untuk menggunakan bahan-bahan ramah lingkungan, dan kreativitas dalam mengintegrasikan batu alam dalam lingkungan kota.",Tukang Batu
Kesempatan karier terbuka untuk teknisi komputer yang memiliki fokus utama pada perangkat keras. Kami mencari individu yang dapat memberikan pelayanan service perangkat keras dengan tingkat keahlian yang tinggi.,Service Perangkat keras
"Diperlukan tukang las untuk proyek perbaikan dan pemeliharaan struktur logam. Pelamar ideal memiliki keahlian dalam memahami dan memecahkan masalah keausan logam, serta kemampuan untuk melakukan perbaikan dengan hasil yang tahan lama. Pengalaman dalam pemeliharaan fasilitas atau proyek perbaikan struktural diutamakan.",Tukang Las
Kami mengajak para profesional teknisi komputer yang mahir dalam manajemen perangkat keras dan pemantauan kesehatan sistem untuk bergabung dengan tim IT kami.,Service Sistem
Lowongan teknisi komputer kami mengundang para profesional yang dapat melakukan analisis forensik digital untuk menyelidiki insiden keamanan dan mendokumentasikan bukti elektronik.,Service Keamanan
"Kesempatan berkarier terbuka bagi teknisi komputer yang memahami kompleksitas perangkat lunak modern. Jika Anda memiliki pengalaman dalam penanganan konflik aplikasi, integrasi sistem, dan pembaruan keamanan, kami mengundang Anda untuk bergabung dengan tim kami.",Service Perangkat lunak
Apakah Anda memiliki pengalaman dalam mengoptimalkan kinerja sistem komputer dan menangani masalah keandalan? Kami mengundang Anda untuk melamar posisi teknisi komputer di perusahaan kami.,Service Sistem
"Bagi tukang kayu yang memiliki spesialisasi dalam pembuatan tangga kayu, kami membuka peluang untuk bergabung dengan tim kami. Pengalaman minimal 5 tahun dalam merancang dan membangun tangga kayu yang kokoh dan estetis diperlukan.",Tukang Kayu
"Kami mencari teknisi komputer yang ahli dalam mendeteksi dan memperbaiki kerusakan komponen perangkat keras seperti CPU, GPU, RAM, hard drive, dan komponen lainnya.",Service Perangkat keras
"Kulkas saya telah mengalami kerusakan, dimana suhu di dalam kulkas tidak dapat diatur sesuai keinginan serta kerusakan lainnya. Oleh sebab itu, saya mencari teknisi elektronik yang bisa datang ke tempat saya untuk menangani permasalahan yang terjadi pada kulkas saya.",Servis Kulkas
"Mesin cuci saya mengalami kerusakan. Akibatnya, mesin cuci tidak menyala dengan benar atau tidak memasukkan air untuk proses pencucian baju. Saya butuh teknisi elektronik profesional yang bisa memeriksa dan memperbaiki masalah ini. Terima kasih.",Servis Mesin Cuci
"Lowongan teknisi komputer terbuka untuk individu yang memahami esensi dari perawatan dan perbaikan perangkat keras. Jika Anda memiliki kecakapan dalam merespons masalah daya, mengganti modul RAM, dan memiliki pemahaman mendalam tentang konektivitas perangkat keras, kami ingin mendengar lebih lanjut tentang latar belakang dan pengalaman Anda.",Service Perangkat keras
"Dibutuhkan tukang cat bangunan yang memiliki keahlian dalam teknik faux finishing. Kualifikasi melibatkan pengalaman dalam menciptakan efek marmer, kayu palsu, dan tekstur lainnya, serta kemampuan untuk menghasilkan hasil akhir yang mengejutkan.",Tukang Cat
"Kami mencari teknisi komputer yang memiliki pengalaman dalam membangun dan mengelola infrastruktur keamanan siber, termasuk penggunaan teknologi SIEM (Security Information and Event Management).",Service Keamanan
"Perusahaan kami mencari tukang cat kayu yang mahir dalam menangani proyek desain outdoor. Kualifikasi mencakup pengetahuan tentang perlindungan cat untuk kayu terhadap elemen alam, pemilihan warna yang sesuai dengan lingkungan luar, dan kemampuan menghadirkan tampilan estetis di ruang terbuka.",Tukang Cat
"Keluhan yang saya alami adalah televisi digital saya tidak bisa mengakses siaran digital dan tampilannya menjadi buram. Berdasarkan destkripsi di atas, saya ingin mencari teknisi elektronik untuk melakukan servis dan memperbaiki televisi digital saya. Terima kasih.",Servis Televisi
"Kami membuka peluang bagi tukang cat dengan keahlian mural untuk proyek seni dan dekorasi. Kualifikasi mencakup pengalaman dalam membuat mural, kreativitas dalam desain, dan kemampuan untuk mentransformasi ruang dengan seni cat yang unik.",Tukang Cat
Kami mencari teknisi komputer yang dapat memahami kebutuhan bisnis dan merancang solusi data yang mendukung analisis prediktif untuk meningkatkan pengambilan keputusan.,Service Data
"Kulkas saya mengalami kerusakan dan sudah berbulan-bulan saya mencoba untuk memperbaikinya, namun kondisi masih sama. Suara berisik yang amat kuat dan tidak bisa dingin sama sekali. Saya memerlukan seorang ahli teknisi elektronik yang berpengalaman untuk mengatasi masalah ini.",Servis Kulkas
"Kami sedang mencari tukang cat berpengalaman untuk proyek dengan aplikasi cat tekstur eksklusif. Kualifikasi mencakup pengalaman dalam menerapkan cat akrilik, cat minyak, dan berbagai jenis cat tekstur. Pengalaman ikut training atau sertifikasi khusus dalam pengecatan sangat dihargai. Gaji kompetitif dan bonus kinerja ditawarkan. Hubungi kami segera jika Anda siap untuk tantangan ini.",Tukang Cat
"Dicari teknisi komputer berpengalaman yang dapat menangani masalah perangkat lunak, termasuk pemecahan masalah pada sistem operasi, aplikasi, dan komponen perangkat lunak lain yang mungkin mengalami kerusakan atau gangguan.",Service Perangkat lunak
"Kami mencari teknisi komputer yang memiliki pemahaman mendalam tentang keamanan perangkat keras dan perangkat lunak, serta dapat memberikan penilaian risiko dan saran mitigasi.",Service Keamanan
"Kami sedang mencari tukang las stainless steel untuk proyek pembuatan dan perbaikan sistem perahu. Kualifikasi mencakup pemahaman tentang kondisi maritim, pengalaman dalam pengelasan stainless steel untuk struktur perahu, dan kepatuhan terhadap regulasi keselamatan maritim.",Tukang Las
"Kulkas saya mengalami kerusakan dan tidak bekerja dengan baik lagi. Ini berarti kompresor tidak berfungsi dengan benar, membuat ruang pendinginnya melebihi suhu yang seharusnya dan menjadikan lemari es saya tidak bisa bekerja dengan benar. Saya perlu memanggil seorang teknisi elektronik yang bisa memperbaiki kulkas saya.",Servis Kulkas
"Perusahaan kami membuka kesempatan bagi tukang cat kayu dengan keahlian dalam desain Scandinavian. Kualifikasi mencakup pemahaman tentang warna dan tampilan khas desain ini, kemampuan menciptakan furnitur dengan sentuhan minimalis, dan fokus pada detail.",Tukang Cat
"Sound system saya telah berhenti berfungsi. Sudah mencoba melakukan troubleshooting, namun rusaknya tetap tidak berubah. Saya sekarang membutuhkan jasa teknisi elektronik untuk mengoptimalkan kondisi sound system ini sehingga dapat bekerja seperti semula.",Servis Soundsystem
"Saya memiliki tv digital yang mengalami kerusakan dan saya butuh bantuan dari seorang teknisi elektronik untuk servis-nya. Kerusakan yang saya alami adalah gambar tv berubah warna, suara tv berdengung tidak biasa, serta gambar bergetar. Permasalahan ini sudah terjadi kurang lebih selama 3 hari.",Servis Televisi
"Kami membuka peluang bagi tukang batu yang memiliki keahlian khusus dalam pemodelan dinding batu. Kualifikasi melibatkan pemahaman tentang desain dinding batu, kemampuan untuk mengatur batu dengan presisi, dan pengalaman dalam penyelesaian dinding batu yang estetis. Pelamar diharapkan memiliki kemampuan pemecahan masalah yang baik.",Tukang Batu
"Kami berada di tempat kerja kami dan kita memiliki beberapa pendingin ruangan (AC) yang mengalami kerusakan. Ada beberapa masalah, seperti AC tidak berfungsi, udara dingin tidak mengalir, suara berisik, bau keringat, suhu tidak stabil, dan dsb. Oleh karena itu, kami ingin menawarkan pekerjaan sebagai tukang servis AC untuk memperbaiki beberapa masalah di AC kami.",Servis AC
"Perusahaan kami membuka peluang karier untuk teknisi komputer berpengalaman yang dapat memberikan perbaikan perangkat keras dengan presisi. Jika Anda memiliki pemahaman mendalam tentang kerusakan RAM, hard drive, dan komponen lainnya, kami ingin mendengar dari Anda.",Service Perangkat keras
"Kami membuka peluang bagi teknisi komputer berpengalaman yang handal dalam memperbaiki perangkat keras. Jika Anda memiliki keahlian dalam mendiagnosa dan memperbaiki berbagai masalah perangkat keras, kami ingin mendengar lebih lanjut.",Service Perangkat keras
"Kulkas saya mengalami masalah dalam beberapa hari terakhir. Saya menduga ada masalah pada bagian thermostat, suhu kulkas agak meningkat sehingga tidak dingin seperti biasanya. Saya sedang mencari teknisi elektronik yang memiliki keahlian dalam memperbaiki kulkas. Jika Anda ahli dalam bidang ini dan tersedia untuk membantu, harap segera hubungi saya. ",Servis Kulkas
"Saya memiliki mesin cuci yang mengalami kerusakan. Masalah ini sudah berlangsung selama 4 hari, mesin cuci tidak dapat mengeluarkan air, komponen pengering rusak dan tombol tidak bekerja. Saya mencari dan memanggil teknisi elektronik yang bisa mengganti komponen dan melakukan servis pada mesin cuci tersebut.",Servis Mesin Cuci
"Terkait dengan TV digital yang saya miliki, saya mengalami masalah teknis di mana layar TV tidak menampilkan gambar dengan jelas. Saya sedang mencari bantuan dari teknisi elektronik yang ahli dalam perbaikan TV untuk menangani masalah ini. Jika Anda memiliki keahlian yang sesuai, harap hubungi saya segera.",Servis Televisi
Apakah Anda memiliki pengalaman dalam merancang dan mengimplementasikan solusi penyimpanan data yang efisien? Kami membuka kesempatan bagi teknisi komputer untuk bergabung dalam tim kami.,Service Data
Kami membuka peluang bagi tukang las yang ahli dalam proyek pengelasan presisi untuk manufaktur komponen elektronik. Bergabunglah dengan tim kami yang fokus pada keakuratan tinggi dan kualitas dalam setiap pengelasan. Pemahaman tentang persyaratan keamanan dan standar industri elektronik sangat diutamakan.,Tukang Las
"Sound system band kami bermasalah selama satu minggu terakhir, terutama pada output suara yang mengalami distorsi dan ketidakjelasan saat digunakan. Kami sedang mencari teknisi elektronik yang memiliki keahlian dalam servis sound system untuk memeriksa dan memperbaiki permasalahan ini secepat mungkin. Jika Anda memiliki keterampilan yang relevan, mohon segera hubungi kami.",Servis Soundsystem
"Perusahaan kami membuka kesempatan bagi tukang cat bangunan berpengalaman untuk proyek komersial. Kualifikasi melibatkan kemampuan untuk bekerja dengan efisien dalam skala besar, pengetahuan tentang regulasi keselamatan, dan keahlian dalam menciptakan tampilan yang profesional.",Tukang Cat
"Kami sedang mencari tukang semen yang memiliki keahlian luas, termasuk dalam proses cor dan pekerjaan finishing. Kandidat ideal harus mahir dalam mencampur dan mencor beton, sekaligus memiliki keterampilan untuk menyelesaikan detail finishing dengan presisi. Pengalaman dalam proyek-proyek multifungsi akan menjadi nilai tambah. Syarat utama melibatkan kemampuan untuk bekerja dengan efisien, kreativitas, dan fokus pada hasil akhir yang berkualitas.",Tukang Semen
"Kami sedang mencari tukang semen yang memiliki pengalaman dalam pengecoran beton bertekanan tinggi. Pengalaman kerja minimal 5 tahun di proyek-proyek bangunan besar, seperti jembatan, gedung pencakar langit, dan bendungan, sangat diutamakan.",Tukang Semen
"Jika Anda tukang cat yang ambisius dan berkualitas tinggi, kami memiliki tempat untuk Anda. Kami mencari individu yang memiliki keahlian khusus dalam memberikan nuansa eksklusif pada setiap proyek. Ayo, raih kesuksesan bersama kami!",Tukang Cat
"AC di rumah saya mengalami masalah, terasa kurang dingin dan terkadang berbunyi aneh. Saya mencari teknisi servis AC yang dapat memeriksa dan memperbaiki masalah ini. Mohon segera hubungi saya jika Anda dapat membantu. Terima kasih!",Servis AC
"Kami mencari tukang kayu berpengalaman untuk bergabung dalam tim pembuatan furnitur khusus, mampu merespons permintaan desain klien dengan presisi dan keahlian tinggi",Tukang Kayu
Sound system di balai budaya kami telah mengalami masalah selama tiga minggu terakhir. Terdapat gangguan signifikan pada kualitas output suara yang menghasilkan distorsi dan ketidakjelasan saat digunakan. Kami sangat membutuhkan bantuan teknisi elektronik yang berpengalaman dalam servis sound system untuk segera memeriksa dan memperbaiki masalah ini. Mohon segera hubungi kami jika Anda memiliki keahlian yang dibutuhkan. Terima kasih,Servis Soundsystem
"Beberapa unit AC di sekolah tempat saya bekerja mengalami masalah kerusakan, terutama kehabisan freon yang mempengaruhi performa pendinginan. Kami sedang mencari tukang servis AC yang dapat menangani pengisian freon dan perbaikan lainnya sesuai kebutuhan. Jika Anda memiliki keahlian dalam hal ini dan tertarik membantu, mohon segera hubungi kami. Terima kasih",Servis AC
"Mesin cuci saya mengalami kesulitan saat beroperasi, terutama pada siklus pencucian. Mesin tidak dapat berputar dengan baik, menghambat proses pencucian pakaian secara efektif. Saya memerlukan bantuan teknisi elektronik yang berpengalaman dalam memperbaiki mesin cuci. Masalah ini sudah terjadi selama sekitar satu minggu. Mohon untuk segera menghubungi saya jika Anda memiliki keterampilan yang relevan.",Servis Mesin Cuci
"Saat ini, kami mencari teknisi komputer yang dapat membantu kami dalam melakukan maintenance rutin dan peningkatan perangkat keras untuk mendukung keberlanjutan operasional perusahaan.",Service Perangkat keras
"Kami membuka peluang bagi tukang batu dengan setidaknya 6 tahun pengalaman dalam pemodelan batu untuk proyek hotel mewah. Kualifikasi mencakup kemampuan untuk menciptakan elemen batu yang mewah dan estetis, serta pengalaman dalam berkolaborasi dengan tim arsitek dan desainer.",Tukang Batu
"Mesin cuci saya saat ini tidak berfungsi dengan baik. Ketika mengoperasikannya, mesin tidak menampilkan suara, air atau gerakan sama sekali. Akan sangat membantu jika ada teknisi yang dapat memperbaiki masalah ini untuk saya. Terima kasih banyak.",Servis Mesin Cuci
"Kesempatan istimewa bagi tukang cor yang memiliki pengalaman minimal 7 tahun dalam proyek pemugaran monumen bersejarah. Kualifikasi mencakup pemahaman mendalam tentang metode restorasi beton, kemampuan untuk mencocokkan gaya dan tekstur asli, serta dedikasi terhadap pelestarian warisan budaya.",Tukang Semen
"Kami membuka kesempatan bagi tukang las profesional yang terampil dalam proyek fabrikasi logam. Bergabunglah dengan tim kami yang saat ini mengerjakan lebih dari 10 proyek pembuatan dan perakitan struktur logam. Kemampuan untuk membaca dan memahami gambar teknis sangat diutamakan, dan keterampilan dalam pengelasan dengan keakuratan tinggi menjadi syarat utama.",Tukang Las
"Kami membuka kesempatan bagi teknisi komputer yang memiliki keahlian dalam mengelola solusi keamanan cloud, termasuk konfigurasi yang aman dan pemantauan terhadap aktivitas yang mencurigakan.",Service Keamanan
"Band saya sedang menghadapi situasi mendesak karena sound system kami mengalami kerusakan. Dalam waktu seminggu, kami membutuhkan sound system ini untuk tampilan penting. Kami mencari teknisi elektronik yang terampil untuk memperbaiki masalah ini. Permasalahannya tidak spesifik, namun kami membutuhkan bantuan segera untuk memastikan sound system dapat berfungsi dengan baik. Jika Anda memiliki keahlian dalam bidang ini dan bisa membantu, silakan hubungi kami secepatnya.",Servis Soundsystem
Perusahaan kami sedang mencari teknisi komputer yang memiliki pengetahuan mendalam tentang teknik pengujian penetrasi dan dapat mengidentifikasi potensi kerentanan dalam infrastruktur IT.,Service Keamanan
"Kami sedang mencari tukang cat kayu yang profesional dan berpengalaman lebih dari 10 tahun. Pekerjaan yang akan dilakukan meliputi pengecatan berbagai macam furnitur kayu, seperti meja, kursi, lemari, dan lainnya.",Tukang Cat
"Kami membuka pintu bagi teknisi komputer yang memiliki spesialisasi di bidang perangkat keras. Jika Anda memiliki rekam jejak yang kuat dalam menangani berbagai permasalahan motherboard, hard drive, dan komponen fisik lainnya, kami mengajak Anda untuk mengirimkan lamaran Anda.",Service Perangkat keras
Lowongan teknisi komputer kami mengutamakan kandidat yang dapat mengelola integrasi data lintas platform dan memastikan keberlanjutan operasional sistem manajemen data.,Service Data
"Ketika sebelumnya berfungsi dengan baik, televisi digital saya kini bermasalah. Saya melihat matinya lampu indikator dan munculnya gambar berwana-warni yang acak. Saya memerlukan seorang teknisi elektronik yang bertanggung jawab untuk memeriksa dan memperbaiki kerusakan ini.",Servis Televisi
"Kami sedang mengundang tukang kayu berbakat dan berpengalaman untuk bergabung dalam tim produksi kami. Posisi ini membutuhkan keahlian khusus dalam tukang ukir kayu, dengan kemampuan presisi tinggi dalam menciptakan detail yang rumit dan artistik.",Tukang Kayu
Perusahaan kami membutuhkan teknisi komputer yang dapat merancang dan mengimplementasikan strategi backup dan pemulihan untuk melindungi data kritis dan memastikan kelangsungan operasional sistem.,Service Sistem
"Kami membuka peluang bagi tukang cat berpengalaman untuk proyek pemugaran monumen. Kualifikasi mencakup pemahaman tentang material cat historis, kemampuan mencocokkan warna asli, dan keterampilan dalam merestorasi elemen dekoratif.",Tukang Cat
"Pada rumah saya saat ini, terdapat 4 pendingin ruangan (AC) yang sedang mengalami kerusakan. Kondisi AC yang terpasang meliputi 2 unit AC split, 1 unit AC Window dan 1 unit AC standing. Beberapa masalah yang terjadi meliputi tidak berfungsinya AC tidak sebagaimana mestinya, bocor di pipa saluran refrigerant serta kipas pada beberapa unit AC semakin lama semakin lemah.",Servis AC
Lowongan pekerjaan untuk tukang las spesialis dalam proyek struktural logam untuk taman hiburan. Kami mencari individu yang memiliki keahlian dalam pembuatan dan pengelasan struktur logam untuk wahana dan atraksi taman hiburan. Kreativitas dan keahlian dalam pengelasan logam dengan keamanan tinggi menjadi syarat utama.,Tukang Las
"Kami mencari tukang batu berpengalaman untuk proyek konstruksi berat seperti pelabuhan dan bendungan. Kualifikasi melibatkan setidaknya 5 tahun pengalaman dalam menangani proyek serupa, pengetahuan mendalam tentang struktur batu besar, dan kemampuan untuk berkoordinasi dengan tim konstruksi.",Tukang Batu
"Sound system saya mengalami kesulitan dalam memutar suara, dengan beberapa speaker yang tidak berfungsi sama sekali. Akibatnya, suara yang dihasilkan terasa lemah, dan bentuknya tidak teratur. Saya sangat membutuhkan teknisi elektronik yang bisa memperbaiki sound system ini secepat mungkin.",Servis Soundsystem
"Perusahaan kami mencari teknisi komputer yang dapat mengelola dan memperbarui sistem basis data perangkat lunak. Jika Anda memiliki keahlian dalam SQL, pengoptimalan kueri, dan pemahaman tentang kebutuhan bisnis terkait data, kami mengajak Anda untuk bergabung dengan tim kami.",Service Perangkat lunak
"Perusahaan kami sedang mencari teknisi komputer yang ahli dalam keamanan informasi, termasuk identifikasi dan penanganan potensi ancaman siber yang dapat mempengaruhi integritas dan kerahasiaan data.",Service Keamanan
"AC di kantor rumah saya sedang bermasalah, tidak mendingin seperti seharusnya dan terdengar bunyi yang tidak biasa. Saya mencari teknisi servis AC yang dapat hadir dan memeriksa serta memperbaiki permasalahan ini. Segera konfirmasi melalui postingan ini jika Anda bersedia untuk membantu. Terima kasih!",Servis AC
"Proyek jembatan terkini kami mencari tukang semen berpengalaman. Jika Anda memiliki keahlian dalam proyek-proyek infrastruktur besar, ini adalah kesempatan Anda. Tanpa syarat minimal pengalaman, yang terpenting adalah semangat untuk berkembang bersama tim. Segera kirimkan lamaran Anda!",Tukang Semen
"Dalam rangka memperluas tim produksi kami, kami mencari tukang kayu khusus untuk pengerjaan kayu keras. Pelamar yang diinginkan harus memiliki pengetahuan yang luas tentang berbagai jenis kayu serta kemampuan memilih bahan yang sesuai untuk setiap proyek.",Tukang Kayu
"Mesin cuci saya bermasalah, saat menyalakan mesin cuci, jarum pointer pada meteran masih berdiri dan mesin tidak berfungsi. Tidak ada suara dan bunyi, dan jalur kabel sudah saya cek namun tidak menunjukkan hal yang berbeda. Saya butuh bantuan teknisi untuk mengatasi permasalahan ini.",Servis Mesin Cuci
Perusahaan kami membuka peluang bagi teknisi komputer yang memiliki pengetahuan mendalam tentang teknologi virtualisasi dan dapat mengimplementasikan solusi yang efisien untuk kebutuhan bisnis.,Service Sistem
Kami mencari tukang batu yang ahli dalam seni ukir batuan untuk proyek eksklusif di bidang arsitektur. Pekerjaan mencakup pembuatan detail artistik pada batuan yang akan menjadi bagian integral dari desain arsitektural. Pelamar diharapkan memiliki keterampilan seni ukir yang tinggi dan kemampuan berkolaborasi dalam proyek arsitektur yang inovatif.,Tukang Batu
